Step    124 | lr=9.719e-05 | loss=2823.71 | e_loss=23152.6 | f_loss=4.83091 | f_rmse=2.1979 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    125 | lr=9.716e-05 | loss=923.692 | e_loss=7598.61 | f_loss=1.55438 | f_rmse=1.2467 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    126 | lr=9.714e-05 | loss=986.789 | e_loss=7075.73 | f_loss=2.71466 | f_rmse=1.6476 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    127 | lr=9.712e-05 | loss=1502.5 | e_loss=11345 | f_loss=3.55391 | f_rmse=1.8852 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    128 | lr=9.710e-05 | loss=902.682 | e_loss=7526.43 | f_loss=1.41513 | f_rmse=1.1896 | pref_e=0.1012 pref_f=99.9 | diff=0.000e+00
Step    129 | lr=9.707e-05 | loss=242.6 | e_loss=20.044 | f_loss=2.40821 | f_rmse=1.5518 | pref_e=0.1012 pref_f=99.9 | diff=0.000e+00
Step    130 | lr=9.705e-05 | loss=132.845 | e_loss=37.1829 | f_loss=1.29218 | f_rmse=1.1367 | pref_e=0.1012 pref_f=99.9 | diff=0.000e+00
Step    131 | lr=9.703e-05 | loss=286.325 | e_loss=1248.09 | f_loss=1.60213 | f_rmse=1.2658 | pref_e=0.1012 pref_f=99.9 | diff=0.000e+00
Step    132 | lr=9.701e-05 | loss=252.046 | e_loss=1114.79 | f_loss=1.3939 | f_rmse=1.1806 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
Step    133 | lr=9.698e-05 | loss=1716.4 | e_loss=13151.3 | f_loss=3.85938 | f_rmse=1.9645 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
Step    134 | lr=9.696e-05 | loss=868.339 | e_loss=6902.44 | f_loss=1.69953 | f_rmse=1.3037 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
Step    135 | lr=9.694e-05 | loss=1034.5 | e_loss=8625.04 | f_loss=1.61694 | f_rmse=1.2716 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
Step    136 | lr=9.692e-05 | loss=901.36 | e_loss=7461.85 | f_loss=1.462 | f_rmse=1.2091 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
Step    137 | lr=9.689e-05 | loss=1599.83 | e_loss=9525.99 | f_loss=6.36185 | f_rmse=2.5223 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
Step    138 | lr=9.687e-05 | loss=1614.64 | e_loss=14674.7 | f_loss=1.29084 | f_rmse=1.1362 | pref_e=0.1012 pref_f=99.89 | diff=0.000e+00
